"District","Year","Aus","min_T.Aus","max_T.Aus","rainfall.Aus","Aman","min_T.Aman","max_T.Aman","rainfall.Aman","Boro","min_T.Boro","max_T.Boro","rainfall.Boro"
"Bankura",1982,2.45,20,19.5,110.6,3.21,19.75,24.25,158.65,2.56,9,19.75,4.15
"Bankura",1983,2.78,19,18.75,135.5,3.2,20.5,23.25,174.35,2.78,10,18.25,10.3
"Bankura",1984,2.12,21,20.25,150.175,3.7,20,24.75,275.85,2.34,9.25,20.75,4
"Bankura",1985,2.6,19.5,18.75,109.35,2.98,20.75,24.5,241.975,2.22,11,20,16.25
"Bankura",1986,2.24,19.25,33.75,86.6,2.78,21.75,35,290.3,2.21,10.5,31.5,20.6
"Bankura",1987,2.67,20.5,39.75,65.3,3.1,22.75,34.75,399.85,2.66,10.75,35.75,27.55
"Bankura",1988,2.12,21,41.25,49.775,3.6,21.75,35.5,201.45,2.89,11,33.5,11.15
"Bankura",1989,2.98,19.75,39.25,132.8,2.67,19.75,37,232.1,2.21,8.75,33.75,17.75
"Bankura",1990,2.53,20.75,41.25,104.575,3.89,19.5,36.75,415.175,2.7,10,32.5,9.2
"Bankura",1991,2.21,16.75,40.25,86.575,3.6,21.25,36.5,239.7,1.987,10.25,32.25,35.5
"Bankura",1992,2.56,23,35,106.65,3.56,23.25,32,269.225,2.1,14.75,27.75,18.3
"Bankura",1993,2.56,23.25,32.75,87.2,2.67,24,34.5,305.175,3.01,14.5,28,11.55
"Bankura",1994,2.46,24.5,38.5,115.025,2.5,24.5,34.75,246.325,2.45,16.25,28.5,21.025
"Bankura",1995,2.8,24,39.25,61.875,3.1,21.5,31,297.2,2.8,11.75,28.25,52.2
"Bankura",1996,2.2,21.25,22.25,92.075,2.99,19.25,28.75,218.725,2.9,11,23.75,10.825
"Bankura",1997,2.31,19.5,38,103.125,3.04,22.5,36,251.975,2.75,11.25,30.5,20.225
"Bankura",1998,2.44,20.5,42,65.55,2.67,21.75,34.5,218.775,2.35,9.75,33.25,37.075
"Bankura",1999,2.3,19.75,42.75,107.4,2.72,22.25,37.25,327.7,2.39,10.75,32.5,1.2
"Bankura",2000,2.21,19.75,43,63.125,3.33,19.75,34.75,171.525,2.44,9,31,9.175
"Bankura",2001,2.54,16.75,38.5,142.05,2.45,19.75,34,237.45,2.88,9.5,32,1.25
"Bankura",2002,2.75,23,35.25,161.175,2.98,25.25,32.25,262.475,2.9,15,27.75,13.35
"Bankura",2003,2.67,24.25,38.5,118.25,3,24.25,35,241.825,2.67,14.75,27.25,9.025
"Bankura",2004,2.74,24.25,38,107.45,2.6,24.5,33.25,319.625,2.79,15,30,0.175
"Bankura",2005,2.49,23.5,37.25,106.325,2.31,22,32.25,241.275,2.68,12.5,28.75,25.725
"Bankura",2006,2.62,19.75,35.25,126.875,2.76,21.75,32.25,238.275,2.81,11.25,29.5,3.3
"Bankura",2007,2.69,20,38.5,89.4,2.84,22.5,35.75,342.95,2.82,11,32,17.75
"Bankura",2008,2.64,20.5,41.75,137.075,2.75,22.75,34.75,252.55,2.77,10,33.25,8.275
"Bankura",2009,3.02,19.75,43.5,58.025,2.62,22.25,35.5,267.2,2.66,11.25,33.5,4.9
"Bankura",2010,2.3,20,43.25,92.625,2.98,19.75,36,138.625,2.48,9,32.75,19
"Bankura",2011,2.75,16.75,39.75,91.75,2.46,19.75,35.25,340.5,3.05,9.5,33,25.45
"Bankura",2012,2.94,24,36,142.25,3.25,25.25,32,240.25,2.68,15,28,21.375
"Bankura",2013,2.55,24.25,35.75,91.975,3.01,25,32.75,225.25,2.75,15,28.5,7.6
"Bankura",2014,3.17,24.25,38,90,3,24.5,33,126.5,2.7,15.25,29.75,12.75
"Bankura",2015,2.96,23.5,38.25,193.5,3.09,22,32.75,240.25,2.69,12.5,28.5,2.5
"Bankura",2016,2.69,20.5,35.5,100.25,3.25,22.25,32.25,228.25,2.75,11.5,29.75,17.75
"Bankura",2017,2.61,18,43.75,90,3.41,15.75,27.75,126.5,2.73,9,33,12.75
"Bankura",2018,2.79,18.25,41.25,193.5,2.91,20,36,240.25,2.3,9.75,31.5,1.25
"Bankura",2019,2.49,19,43,78.5,2.89,22.75,36,209,2.53,10.25,32,29.75
"Bankura",2020,2.46,23.5,38,145.05,3.54,25.25,32.75,302.9,3.1,14,28.25,26.05
"Bankura",2021,2.44,22.5,36.5,62,3.17,23.75,32.25,185.75,3.1,13.5,27.75,20.75
"Bankura",2022,2.45,22.75,38.25,78.5,3.2,25.75,33,209,2.9,14.25,27.75,29.75
"Burdwan",1982,1.98,17,37,100.225,3.12,22.25,34.5,117.5,2.89,11.25,29,4.8
"Burdwan",1983,2.2,19.5,39.75,119.375,3.56,21.25,36,242.7,2.34,10.25,31.5,8.65
"Burdwan",1984,2.78,19.5,38,176.95,3.78,21.75,33.25,266.4,2.56,9.75,31.5,5.625
